Timestamp,Thread,LockType,Method,Action,Value
2025-05-06T16:42:25.617104500Z,main,READ,printInOrder,trying,-
2025-05-06T16:42:25.620616600Z,main,READ,printInOrder,acquired,-
2025-05-06T16:42:25.637399200Z,main,READ,printInOrder,released,-
2025-05-06T16:42:25.639398500Z,main,READ,checkRep,trying,-
2025-05-06T16:42:25.641398600Z,main,READ,checkRep,acquired,-
2025-05-06T16:42:25.642400100Z,main,READ,checkRep,released,-
2025-05-06T16:42:25.646399700Z,main,WRITE,add,trying,10
2025-05-06T16:42:25.647399200Z,main,WRITE,add,treeLock acquired,10
2025-05-06T16:42:25.648399400Z,main,WRITE,add,created root,10
2025-05-06T16:42:25.649399300Z,main,WRITE,add,treeLock released,10
2025-05-06T16:42:25.650399Z,main,WRITE,add,trying,5
2025-05-06T16:42:25.651399200Z,main,WRITE,add,treeLock acquired,5
2025-05-06T16:42:25.652399400Z,main,WRITE,add,treeLock released,5
2025-05-06T16:42:25.653406600Z,main,WRITE,add,trying,15
2025-05-06T16:42:25.654406100Z,main,WRITE,add,treeLock acquired,15
2025-05-06T16:42:25.655405900Z,main,WRITE,add,treeLock released,15
2025-05-06T16:42:25.656416100Z,main,WRITE,add,trying,2
2025-05-06T16:42:25.657406200Z,main,WRITE,add,treeLock acquired,2
2025-05-06T16:42:25.658406300Z,main,WRITE,add,treeLock released,2
2025-05-06T16:42:25.659406Z,main,WRITE,add,trying,7
2025-05-06T16:42:25.660405800Z,main,WRITE,add,treeLock acquired,7
2025-05-06T16:42:25.661406400Z,main,WRITE,add,treeLock released,7
2025-05-06T16:42:25.664405800Z,main,WRITE,corrupt,trying,5->6
2025-05-06T16:42:25.665405800Z,main,WRITE,corrupt,acquired,5->6
2025-05-06T16:42:25.666406200Z,main,WRITE,corrupt,corrupted,5->6
2025-05-06T16:42:25.667911800Z,main,WRITE,corrupt,released,5->6
2025-05-06T16:42:25.669918400Z,main,READ,printInOrder,trying,-
2025-05-06T16:42:25.670928400Z,main,READ,printInOrder,acquired,-
2025-05-06T16:42:25.673919600Z,main,READ,printInOrder,released,-
2025-05-06T16:42:25.674919Z,main,READ,checkRep,trying,-
2025-05-06T16:42:25.675926600Z,main,READ,checkRep,acquired,-
2025-05-06T16:42:25.675926600Z,main,READ,checkRep,released,-
2025-05-06T16:42:25.678426500Z,main,WRITE,add,trying,10
2025-05-06T16:42:25.679435Z,main,WRITE,add,treeLock acquired,10
2025-05-06T16:42:25.680434800Z,main,WRITE,add,created root,10
2025-05-06T16:42:25.681435200Z,main,WRITE,add,treeLock released,10
2025-05-06T16:42:25.683434500Z,main,WRITE,add,trying,5
2025-05-06T16:42:25.684435Z,main,WRITE,add,treeLock acquired,5
2025-05-06T16:42:25.685435300Z,main,WRITE,add,treeLock released,5
2025-05-06T16:42:25.688435300Z,main,WRITE,add,trying,15
2025-05-06T16:42:25.689950300Z,main,WRITE,add,treeLock acquired,15
2025-05-06T16:42:25.690956Z,main,WRITE,add,treeLock released,15
2025-05-06T16:42:25.691955200Z,main,WRITE,add,trying,2
2025-05-06T16:42:25.693461900Z,main,WRITE,add,treeLock acquired,2
2025-05-06T16:42:25.695357800Z,main,WRITE,add,treeLock released,2
2025-05-06T16:42:25.696959500Z,main,WRITE,add,trying,7
2025-05-06T16:42:25.699446100Z,main,WRITE,add,treeLock acquired,7
2025-05-06T16:42:25.701530100Z,main,WRITE,add,treeLock released,7
2025-05-06T16:42:25.704060500Z,main,WRITE,corrupt,trying,10->1
2025-05-06T16:42:25.706296400Z,main,WRITE,corrupt,acquired,10->1
2025-05-06T16:42:25.707307600Z,main,WRITE,corrupt,corrupted,10->1
2025-05-06T16:42:25.708305700Z,main,WRITE,corrupt,released,10->1
2025-05-06T16:42:25.710304600Z,main,READ,printInOrder,trying,-
2025-05-06T16:42:25.711305900Z,main,READ,printInOrder,acquired,-
2025-05-06T16:42:25.714304400Z,main,READ,printInOrder,released,-
2025-05-06T16:42:25.715305200Z,main,READ,checkRep,trying,-
2025-05-06T16:42:25.716303900Z,main,READ,checkRep,acquired,-
2025-05-06T16:42:25.717304400Z,main,READ,checkRep,released,-
2025-05-06T16:42:25.720321400Z,main,WRITE,add,trying,0
2025-05-06T16:42:25.722304900Z,main,WRITE,add,treeLock acquired,0
2025-05-06T16:42:25.723304400Z,main,WRITE,add,created root,0
2025-05-06T16:42:25.724304500Z,main,WRITE,add,treeLock released,0
2025-05-06T16:42:25.725303700Z,main,WRITE,add,trying,10
2025-05-06T16:42:25.725303700Z,main,WRITE,add,treeLock acquired,10
2025-05-06T16:42:25.726303900Z,main,WRITE,add,treeLock released,10
2025-05-06T16:42:25.727304900Z,main,WRITE,add,trying,20
2025-05-06T16:42:25.728305200Z,main,WRITE,add,treeLock acquired,20
2025-05-06T16:42:25.729304100Z,main,WRITE,add,treeLock released,20
2025-05-06T16:42:25.730304100Z,main,WRITE,add,trying,30
2025-05-06T16:42:25.731304400Z,main,WRITE,add,treeLock acquired,30
2025-05-06T16:42:25.732304400Z,main,WRITE,add,treeLock released,30
2025-05-06T16:42:25.732304400Z,main,WRITE,add,trying,40
2025-05-06T16:42:25.734305200Z,main,WRITE,add,treeLock acquired,40
2025-05-06T16:42:25.735305600Z,main,WRITE,add,treeLock released,40
2025-05-06T16:42:25.736305900Z,main,WRITE,add,trying,50
2025-05-06T16:42:25.738307100Z,main,WRITE,add,treeLock acquired,50
2025-05-06T16:42:25.739307800Z,main,WRITE,add,treeLock released,50
2025-05-06T16:42:25.739307800Z,main,WRITE,add,trying,60
2025-05-06T16:42:25.740307400Z,main,WRITE,add,treeLock acquired,60
2025-05-06T16:42:25.741308400Z,main,WRITE,add,treeLock released,60
2025-05-06T16:42:25.742305300Z,main,WRITE,add,trying,70
2025-05-06T16:42:25.742305300Z,main,WRITE,add,treeLock acquired,70
2025-05-06T16:42:25.743307300Z,main,WRITE,add,treeLock released,70
2025-05-06T16:42:25.744310100Z,main,WRITE,add,trying,80
2025-05-06T16:42:25.745312200Z,main,WRITE,add,treeLock acquired,80
2025-05-06T16:42:25.746310100Z,main,WRITE,add,treeLock released,80
2025-05-06T16:42:25.747309400Z,main,WRITE,add,trying,90
2025-05-06T16:42:25.748306400Z,main,WRITE,add,treeLock acquired,90
2025-05-06T16:42:25.749307600Z,main,WRITE,add,treeLock released,90
2025-05-06T16:42:25.750306900Z,main,READ,printInOrder,trying,-
2025-05-06T16:42:25.751306600Z,main,READ,printInOrder,acquired,-
2025-05-06T16:42:25.754322100Z,main,READ,printInOrder,released,-
2025-05-06T16:42:25.755321Z,main,READ,checkRep,trying,-
2025-05-06T16:42:25.756321Z,main,READ,checkRep,acquired,-
2025-05-06T16:42:25.756321Z,main,READ,checkRep,released,-
2025-05-06T16:42:25.763320400Z,Reader-1,READ,contains,trying,85
2025-05-06T16:42:25.765320200Z,Reader-1,READ,contains,treeLock acquired,85
2025-05-06T16:42:25.766319800Z,Reader-2,READ,checkRep,trying,-
2025-05-06T16:42:25.767828300Z,Writer-1,WRITE,add,trying,34
2025-05-06T16:42:25.768836700Z,Writer-2,WRITE,remove,trying,62
2025-05-06T16:42:25.769837Z,Writer-1,WRITE,add,treeLock acquired,34
2025-05-06T16:42:25.770838100Z,Reader-2,READ,checkRep,acquired,-
2025-05-06T16:42:25.771837Z,Reader-2,READ,checkRep,released,-
2025-05-06T16:42:25.772836400Z,Reader-1,READ,contains,treeLock released,85
2025-05-06T16:42:25.783836600Z,Reader-2,READ,checkRep,trying,-
2025-05-06T16:42:25.813835900Z,Reader-1,READ,contains,trying,47
Timestamp,Thread,LockType,Method,Action,Value
2025-05-06T16:44:29.536329800Z,main,WRITE,add,trying,10
2025-05-06T16:44:29.546339900Z,main,WRITE,add,acquired,10
2025-05-06T16:44:29.547347500Z,main,WRITE,add,released,10
2025-05-06T16:44:29.548346700Z,main,WRITE,add,trying,5
2025-05-06T16:44:29.548346700Z,main,WRITE,add,acquired,5
2025-05-06T16:44:29.548346700Z,main,WRITE,add,released,5
2025-05-06T16:44:29.549347400Z,main,WRITE,add,trying,15
2025-05-06T16:44:29.549347400Z,main,WRITE,add,acquired,15
2025-05-06T16:44:29.549347400Z,main,WRITE,add,released,15
2025-05-06T16:44:29.549347400Z,main,WRITE,add,trying,2
2025-05-06T16:44:29.550346Z,main,WRITE,add,acquired,2
2025-05-06T16:44:29.550346Z,main,WRITE,add,released,2
2025-05-06T16:44:29.550346Z,main,WRITE,add,trying,7
2025-05-06T16:44:29.550346Z,main,WRITE,add,acquired,7
2025-05-06T16:44:29.551347800Z,main,WRITE,add,released,7
2025-05-06T16:44:29.551347800Z,main,WRITE,add,trying,12
2025-05-06T16:44:29.551347800Z,main,WRITE,add,acquired,12
